faculty_link,faculty_name,news_link,news_title
https://bioweb.lnu.edu.ua,biolog@lnu.edu.ua,https://bioweb.lnu.edu.ua/news/spilnota-universytetu-orhanizuvala-fleshmob-do-75-richchia-vid-dnia-narodzhennia-volodymyra-ivasiuka,Спільнота Університету організувала флешмоб до 75-річчя від дня народження Володимира Івасюка
https://geology.lnu.edu.ua,decanat.geology@ukr.net,https://geology.lnu.edu.ua/news/vidkryta-dystantsiyna-zustrich-z-ekspertnoiu-hrupoiu-shchodo-akredytatsii-osvitno-profesiynykh-prohram-gruntoznavstvo-ta-ekspertna-otsinka-zemel-i-heolohiia-komp-iuterni-tekhnolohii-v-naukakh-pro-zem,Відкрита дистанційна зустріч з експертною групою щодо акредитації освітньо-професійних програм «Ґрунтознавство та експертна оцінка земель» і «Геологія. Комп’ютерні технології в науках про Землю» першого (бакалаврського) рівня вищої освіти
https://bioweb.lnu.edu.ua,biolog@lnu.edu.ua,https://bioweb.lnu.edu.ua/news/pisnia-bude-pomizh-nas,«Пісня буде поміж нас!»
https://bioweb.lnu.edu.ua,biolog@lnu.edu.ua,https://bioweb.lnu.edu.ua/news/kolory-biloho-kontynentu-u-lvivskomu-universyteti-v-zoolohichnomu-muzei-vidkryly-vystavku-svitlyn-serhiia-hlotova,«Кольори білого континенту» у Львівському університеті: в Зоологічному музеї відкрили виставку світлин Сергія Глотова
https://geology.lnu.edu.ua,decanat.geology@ukr.net,https://geology.lnu.edu.ua/news/14-bereznia-2024-r-vidbudetsia-cherhova-zustrich-u-mineralohichnomu-muzei,14 березня 2024 р. відбудеться чергова “Зустріч у Мінералогічному музеї”
https://geology.lnu.edu.ua,decanat.geology@ukr.net,https://geology.lnu.edu.ua/news/dva-roky-viyny,За роки війни…
https://journ.lnu.edu.ua,journft@lnu.edu.ua,https://journ.lnu.edu.ua/news/urochysta-akademiia-z-nahody-95-richchia-profesora-oleksandry-antonivny-serbenskoi,Урочиста Академія з нагоди 95-річчя професора Олександри Антонівни Сербенської
https://journ.lnu.edu.ua,journft@lnu.edu.ua,https://journ.lnu.edu.ua/news/rozshyrene-zasidannia-robochoi-hrupy-opp-mizhnarodna-zhurnalistyka,Розширене засідання робочої групи ОПП «Міжнародна журналістика»
https://journ.lnu.edu.ua,journft@lnu.edu.ua,https://journ.lnu.edu.ua/news/zasidannia-vchenoi-rady-fakultetu-zhurnalistyky-5,Засідання вченої ради факультету журналістики
https://journ.lnu.edu.ua,journft@lnu.edu.ua,https://journ.lnu.edu.ua/news/rektor-universytetu-volodymyr-melnyk-ta-prorektor-volodymyr-kachmar-zavitaly-do-fakultetu-zhurnalistyky,Ректор Університету Володимир Мельник та Проректор Володимир Качмар завітали до факультету журналістики
https://electronics.lnu.edu.ua/,electronics.faculty@lnu.edu.ua,https://electronics.lnu.edu.ua/news/video-zapys-z-dnia-vidkrytykh-dverey-fakultetu-elektroniky-ta-komp-iuternykh-tekhnolohiy-2024-teper-dostupnyy-na-youtube-kanali/,Відеозапис з Дня відкритих дверей Факультету електроніки та комп’ютерних технологій 2024 тепер доступний на YouTube каналі!
https://electronics.lnu.edu.ua/,electronics.faculty@lnu.edu.ua,https://electronics.lnu.edu.ua/news/u-ramkakh-mizhnarodnoho-proiektu-training-to-teaching-online-in-wartime-and-after-u-train-uchasnyky-vykonaly-riad-zavdan-ta-predstavyly-rezultaty-svoiei-roboty/,У рамках міжнародного проєкту “Training to Teaching Online in Wartime and After (U-train)”учасники виконали ряд завдань та представили результати своєї роботи
https://econom.lnu.edu.ua/,edean@lnu.edu.ua,https://econom.lnu.edu.ua/news/kolektyv-ekonomichnoho-fakultetu-ta-kafedry-finansiv-hroshovoho-obihu-i-kredytu-lvivskoho-natsionalnoho-universytetu-imeni-ivana-franka,"Колектив економічного факультету та кафедри фінансів, грошового обігу і кредиту Львівського національного університету імені Івана Франка"
https://econom.lnu.edu.ua/,edean@lnu.edu.ua,https://econom.lnu.edu.ua/news/hostova-lektsiia-kerivnyka-firmy-a-solution-development-v-ramkakh-spivpratsi-z-kafedroiu-statystyky-ekonomichnoho-fakultetu,Гостьова лекція керівника фірми А-Solution Development в рамках співпраці з кафедрою статистики економічного факультету
https://econom.lnu.edu.ua/,edean@lnu.edu.ua,https://econom.lnu.edu.ua/news/kolektyv-ekonomichnoho-fakultetu-ta-kafedry-ekonomichnoi-teorii-vyslovliuie-shchyri-spivchuttia-dotsentu-ilkiv-natalii-vasylivni-ta-ii-ridnym-z-pryvodu-smerti-batka-ilkiva-vasylia-fedorovycha,Колектив економічного факультету та кафедри економічної теорії висловлює щирі співчуття доценту Ільків Наталії Василівні та її рідним з приводу смерті батька Ільківа Василя Федоровича
https://geography.lnu.edu.ua/,geography.faculty@lnu.edu.ua,https://geography.lnu.edu.ua/news/erazmus-2-konk-2024,Оголошені нові конкурси на академічну мобільність по Еразмусу для студентів та аспірантів
https://geography.lnu.edu.ua/,geography.faculty@lnu.edu.ua,https://geography.lnu.edu.ua/news/vidkryta-dystantsiyna-zustrich-103-gruntoznavstvo-2024,Відкрита дистанційна зустріч з експертною групою щодо акредитації освітньо-професійної програми «Ґрунтознавство та експертна оцінка земель»
https://geography.lnu.edu.ua/,geography.faculty@lnu.edu.ua,https://geography.lnu.edu.ua/news/zakhyst-zvitiv-serednia-osvita,Захист звітів з виробничої практики студентів 3 курсу спеціальності 014 “Середня освіта (географія)”
https://electronics.lnu.edu.ua/,electronics.faculty@lnu.edu.ua,https://electronics.lnu.edu.ua/news/novi-konkursy-erazmus-dlia-studentiv-ta-aspirantiv/,Нові конкурси Еразмус+ для студентів та аспірантів
https://electronics.lnu.edu.ua/,electronics.faculty@lnu.edu.ua,https://electronics.lnu.edu.ua/news/mizhnarodna-naukova-konferentsiia-studentiv-i-molodykh-naukovtsiv-z-teoretychnoi-ta-eksperymentalnoi-fizyky-evryka-2024/,Міжнародна наукова конференція студентів і молодих науковців з теоретичної та експериментальної фізики «ЕВРИКА-2024»
https://geography.lnu.edu.ua/,geography.faculty@lnu.edu.ua,https://geography.lnu.edu.ua/news/masliychuk-mayster-klas-hastronomichnoho-prostoru-pro100hub,Відбулась участь здобувачів та викладачки кафедри готельно-ресторанної справи та харчових технологій Ольги Маслійчук у майстер-класі гастрономічного простору «PRO100HUB»
https://clio.lnu.edu.ua,clio@lnu.edu.ua,https://clio.lnu.edu.ua/news/vidbulas-zustrich-studentiv-istorychnoho-fakultetu-z-radomyrom-mokrykom,Відбулась зустріч студентів історичного факультету з Радомиром Мокриком
https://clio.lnu.edu.ua,clio@lnu.edu.ua,https://clio.lnu.edu.ua/news/spohady-pro-vypusknyka-istorychnoho-fakultetu-mykolu-mayorchaka,Спогади про випускника історичного факультету Миколу Майорчака
https://clio.lnu.edu.ua,clio@lnu.edu.ua,https://clio.lnu.edu.ua/news/shakhovyy-turnir-z-blitsu-prysviachenyy-zakhysnykam-i-zakhysnytsiam-ukrainy,"Шаховий турнір з бліцу, присвячений Захисникам і Захисницям України"
https://lingua.lnu.edu.ua/,lingua.faculty@lnu.edu.ua,https://lingua.lnu.edu.ua/news/urochysta-akademiia-z-nahody-100-richchia-vid-dnia-narodzhennia-nonny-khomivny-kopystianskoi,Урочиста академія з нагоди 100-річчя від дня народження Нонни Хомівни Копистянської
https://law.lnu.edu.ua,law.faculty@lnu.edu.ua,https://law.lnu.edu.ua/news/anons-7-bereznia-2024-r-naukovyy-seminar,Анонс: 7 березня 2024 р. – науковий семінар
https://law.lnu.edu.ua,law.faculty@lnu.edu.ua,https://law.lnu.edu.ua/news/vykladach-kafedry-vzyav-uchast-u-osvitnomu-lektoriyi-dlya-studentiv-aktyvistiv-kudy-ydut-vashi-hroshi-abo-yak-pratsyuyut-podatky,ВИКЛАДАЧ  КАФЕДРИ  ВЗЯВ  УЧАСТЬ  У  ОСВІТНЬОМУ  ЛЕКТОРІЇ  ДЛЯ СТУДЕНТІВ-АКТИВІСТІВ  «КУДИ  ЙДУТЬ  ВАШІ  ГРОШІ?  АБО  ЯК  ПРАЦЮЮТЬ  ПОДАТКИ»
https://law.lnu.edu.ua,law.faculty@lnu.edu.ua,https://law.lnu.edu.ua/news/22-bereznia-na-iurydychnomu-fakultetu-vidbudetsia-i-y-tur-vseukrainskoi-studentskoi-olimpiady-zi-spetsialnosti-pravo-pravoznavstvo,22 березня на юридичному факультеті відбудеться І-й тур Всеукраїнської студентської олімпіади зі спеціальності «Право» (правознавство)
https://chem.lnu.edu.ua/,chemdek@lnu.edu.ua,https://chem.lnu.edu.ua/news/22-23-bereznia-2024-r-x-mizhnarodna-konferentsiia-suchasni-tendentsii-navchannia-khimii,22-23 березня 2024 р.  X Міжнародна конференція “Сучасні тенденції навчання хімії”
https://chem.lnu.edu.ua/,chemdek@lnu.edu.ua,https://chem.lnu.edu.ua/news/27-29-liutoho-2024-r-ekskursii-po-fizichnomu-heolohichnomu-ta-khimichnomu-fakultetakh,"27-29 лютого 2024 р. Екскурсії по фізічному, геологічному та хімічному факультетах"
https://lingua.lnu.edu.ua/,lingua.faculty@lnu.edu.ua,https://lingua.lnu.edu.ua/news/movna-rozmynka-u-frantsuzkomu-prostori-anny-hlynskoi,Мовна розминка у Французькому Просторі Анни Глинської
https://lingua.lnu.edu.ua/,lingua.faculty@lnu.edu.ua,https://lingua.lnu.edu.ua/news/naykorotshyy-shliakh-inodi-naydovshyy-nil-heyman-literaturna-osvita-7-klas,«Найкоротший шлях – іноді найдовший» (Ніл Гейман). Літературна освіта (7 клас)
https://lingua.lnu.edu.ua/,lingua.faculty@lnu.edu.ua,https://lingua.lnu.edu.ua/news/tisna-spivpratsia-kafedry-alliance-francaise-de-lviv-ta-frantsuzkoho-prostoru,"Тісна співпраця кафедри, Alliance française de Lviv та Французького простору"
https://law.lnu.edu.ua,law.faculty@lnu.edu.ua,https://law.lnu.edu.ua/news/8-bereznia-vidbudetsia-lektsiia-profesora-fryderyka-tsollia-na-temu-yevropeyske-pryvatne-pravo,8 березня відбудеться лекція професора Фридерика Цолля на тему «Європейське приватне право»
https://law.lnu.edu.ua,law.faculty@lnu.edu.ua,https://law.lnu.edu.ua/news/oholoshuiemo-nabir-u-shkolu-iunoho-pravnyka-2024,Оголошуємо набір у Школу юного правника – 2024
https://chem.lnu.edu.ua/,chemdek@lnu.edu.ua,https://chem.lnu.edu.ua/news/28-liutoho-2024-r-naukovyy-seminar-kafedry-orhanichnoi-khimii-dopovidach-doktor-pawel-jewula,28 лютого 2024 р. Науковий семінар кафедри органічної хімії. Доповідач: доктор Pawel Jewula
https://philology.lnu.edu.ua/,philology.faculty@lnu.edu.ua,https://philology.lnu.edu.ua/news/tsykl-lektsiy-kar-ierni-traiektorii-prykladnoho-linhvista-zustrich-persha,Цикл лекцій «Кар’єрні траєкторії прикладного лінгвіста»: зустріч перша
https://philology.lnu.edu.ua/,philology.faculty@lnu.edu.ua,https://philology.lnu.edu.ua/news/pro-studentskyy-literaturnyy-almanakh-svi-y-tanok,Про студентський літературний альманах “Сві-й-танок”
https://philology.lnu.edu.ua/,philology.faculty@lnu.edu.ua,https://philology.lnu.edu.ua/news/zasidannia-starostatu-5,Засідання старостату
https://filos.lnu.edu.ua,dfilos@lnu.edu.ua,https://filos.lnu.edu.ua/news/i-tur-olimpiady-zi-spetsialnosti-psykholohiya,І тур Олімпіади зі спеціальності «ПСИХОЛОГІЯ»
https://filos.lnu.edu.ua,dfilos@lnu.edu.ua,https://filos.lnu.edu.ua/news/desiata-richnytsia-smerti-heroia-nebesnoi-sotni-serhiia-kemskoho,Десята Річниця Смерті Героя Небесної Сотні Сергія Кемського
